workerid,anon_workerid
A25CFVQND4A0EV,0
AXPBPXPFGL1VH,1
A28L1GY8OU8N2Z,2
A3HFS6Q0TONAB9,3
A9692Y27LBXT9,4
AZLRPIAD0ZHAA,5
A2J51BI7XS5ZYU,6
A207IHY6GERCFO,7
A2615YW1YERQBO,8
A1NZFJHVJ9CNTO,9
ARWN6TT8EWCFJ,10
A27VFM67RPD2L5,11
A3PK3QF2HEYZ0N,12
A1LTJHPUTL7WM9,13
A147F5PJTHOB8A,14
AXAO7UJYYEFCO,15
A1P0XSCJ9XAV74,16
A2MUCL20GTQJA0,17
A3MFK5UEUG95M3,18
AMPMTF5IAAMK8,19
A2E0LU8V4EUX5C,20
A1O5IL3N3G3WIL,21
AZ69TBTDH7AZS,22
A37OUZOGQKGMW0,23
A2J18K5IUQ2K4G,24
A3FAF93BMDJLAL,25
A2ZQCHONMAJZF,26
AIHHRINW9IN1I,27
A9KOG4O3UY5AX,28
A3RDH0U2H6JCBC,29
A1RV2LERVS0A4H,30
A2UOSEPGNUITM8,31
